Scenario - Bisection Task
Logfile written - 09/11/2018 16:35:26

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
1	164	Picture	ITI	ITI							4274085	0	1	11596	1	0	next	other	0
1	165	Sound	Stim;1;test;1;36;5;1149	Stim	1	test	1	36	5	1149	4285582	0	6			0		other	0
1	166	Picture	ITI	ITI							4326439	0	1	17567	1	0	next	other	0
1	167	Sound	Stim;1;test;1;37;5;1747	Stim	1	test	1	37	5	1747	4343916	0	4			0		other	0
1	168	Picture	ITI	ITI							4384765	0	1	13679	1	0	next	other	0
1	169	Sound	Stim;1;test;1;38;4;1362	Stim	1	test	1	38	4	1362	4398391	0	4			0		other	0
1	170	Picture	ITI	ITI							4435730	0	1	11457	1	0	next	other	0
1	171	Sound	Stim;1;test;1;39;7;1138	Stim	1	test	1	39	7	1138	4447120	0	4			0		other	0
1	172	Picture	ITI	ITI							4497111	0	1	11249	1	0	next	other	0
1	173	Sound	Stim;1;test;1;40;4;1119	Stim	1	test	1	40	4	1119	4508307	0	4			0		other	0
1	174	Picture	ITI	ITI							4545646	0	1	15901	1	0	next	other	0
1	175	Sound	Stim;1;test;1;41;3;1583	Stim	1	test	1	41	3	1583	4561482	0	4			0		other	0
1	176	Picture	ITI	ITI							4595987	0	1	16664	1	0	next	other	0
1	177	Sound	Stim;1;test;1;42;1;1660	Stim	1	test	1	42	1	1660	4612592	0	4			0		other	0
1	178	Picture	ITI	ITI							4642647	0	1	19650	1	0	next	other	0
1	179	Sound	Stim;1;test;1;43;3;1956	Stim	1	test	1	43	3	1956	4662213	0	4			0		other	0
1	180	Picture	ITI	ITI							4696668	0	1	18331	1	0	next	other	0
1	181	Sound	Stim;1;test;1;44;4;1829	Stim	1	test	1	44	4	1829	4714964	0	5			0		other	0
1	182	Picture	ITI	ITI							4752355	0	1	10554	1	0	next	other	0
1	183	Sound	Stim;1;test;1;45;5;1049	Stim	1	test	1	45	5	1049	4762854	0	4			0		other	0
1	184	Picture	ITI	ITI							4803668	0	1	19720	1	0	next	other	0
1	185	Sound	Stim;1;test;1;46;1;1966	Stim	1	test	1	46	1	1966	4823333	0	4			0		other	0
1	186	Picture	ITI	ITI							4853383	0	1	11735	1	0	next	other	0
1	187	Sound	Stim;1;test;1;47;7;1168	Stim	1	test	1	47	7	1168	4865076	0	4			0		other	0
1	188	Picture	ITI	ITI							4915042	0	1	18053	1	0	next	other	0
1	189	Sound	Stim;1;test;1;48;7;1795	Stim	1	test	1	48	7	1795	4933003	0	4			0		other	0
1	190	Picture	ITI	ITI							4983019	0	1	16387	1	0	next	other	0
1	191	Sound	Stim;1;test;1;49;1;1629	Stim	1	test	1	49	1	1629	4999314	0	4			0		other	0
1	192	Picture	Instruction	Instruction							5029402	0	1	73185	1	0	next	other	0
1	192	Response	1								5102422	73021	1
1	193	Picture	Break	Break							5102586	0	1	53187	1	0	next	other	0
1	193	Response	1								5155697	53110	1
1	194	Picture	ITI	ITI							5155774	0	1	20067	1	0	next	other	0
1	195	Picture	ITI	ITI							5175840	0	1	11457	1	0	next	other	0
1	196	Sound	Stim;1;test;2;1;1;1138	Stim	1	test	2	1	1	1138	5187226	0	4			0		other	0
1	197	Picture	ITI	ITI							5217293	0	1	11318	1	0	next	other	0
1	198	Sound	Stim;1;test;2;2;3;1122	Stim	1	test	2	2	3	1122	5228521	0	4			0		other	0
1	199	Picture	ITI	ITI							5262982	0	1	18123	1	0	next	other	0
1	200	Sound	Stim;1;test;2;3;6;1806	Stim	1	test	2	3	6	1806	5281050	0	4			0		other	0
1	201	Picture	ITI	ITI							5326029	0	1	16109	1	0	next	other	0
1	202	Sound	Stim;1;test;2;4;6;1603	Stim	1	test	2	4	6	1603	5342067	0	4			0		other	0
1	203	Picture	ITI	ITI							5387062	0	1	14581	1	0	next	other	0
1	204	Sound	Stim;1;test;2;5;3;1448	Stim	1	test	2	5	3	1448	5401548	0	4			0		other	0
1	205	Picture	ITI	ITI							5436014	0	1	18886	1	0	next	other	0
1	206	Sound	Stim;1;test;2;6;1;1879	Stim	1	test	2	6	1	1879	5454812	0	4			0		other	0
1	207	Picture	ITI	ITI							5484897	0	1	15901	1	0	next	other	0
1	208	Sound	Stim;1;test;2;7;1;1585	Stim	1	test	2	7	1	1585	5500752	0	4			0		other	0
1	209	Picture	ITI	ITI							5530793	0	1	12151	1	0	next	other	0
1	210	Sound	Stim;1;test;2;8;7;1206	Stim	1	test	2	8	7	1206	5542863	0	4			0		other	0
1	211	Picture	ITI	ITI							5592868	0	1	18400	1	0	next	other	0
1	212	Sound	Stim;1;test;2;9;6;1835	Stim	1	test	2	9	6	1835	5611226	0	4			0		other	0
1	213	Picture	ITI	ITI							5656193	0	1	18192	1	0	next	other	0
